from,to
0,40453
0,17512
0,39470
0,28067
0,12679
0,5248
0,2923
1,34891
1,36639
2,3818
2,15884
2,37051
3,23507
3,9054
3,16175
3,22745
3,26481
3,14651
3,13848
4,11672
4,33862
5,19383
5,16772
5,25661
5,49384
5,26545
5,34021
5,19556
5,5827
5,35361
5,20680
5,22801
6,4685
6,22885
6,40289
6,9675
6,23251
6,9545
6,3794
6,1599
7,12854
7,3468
7,46359
8,48364
8,44865
8,19552
8,18938
8,32578
8,42813
8,22152
8,26640
8,8145
8,27757
8,6339
8,47286
8,49130
8,15072
8,38481
9,48908
9,14063
9,33690
9,21653
9,20233
9,29050
9,29579
10,21041
11,1085
11,34711
12,25931
12,27375
12,18194
12,20121
12,3327
12,11455
13,5697
13,21361
13,38019
13,35941
14,13271
14,33739
14,9462
14,36213
14,30874
14,30289
14,34543
14,27017
14,29215
14,30208
14,15340
14,42975
14,3357
14,42283
14,28289
14,11410
14,44526
14,28928
14,3389
15,44854
15,21008
15,27604
16,48419
16,33280
16,22343
16,11222
16,44283
16,13101
16,4524
16,33692
16,2117
16,16570
16,21726
16,44434
16,21539
16,36212
16,20952
16,22692
16,37131
16,14400
16,28685
17,34208
17,4039
17,25310
17,18666
17,21582
17,19646
17,9539
17,43016
17,22660
17,40303
17,29759
17,17571
17,35220
17,42491
17,6098
17,38148
17,26964
17,27393
17,43939
17,23040
18,24301
18,4647
18,24023
19,44881
19,16374
20,6798
20,48672
20,35177
20,38464
20,16598
20,10423
21,29656
21,47465
22,47800
22,25366
22,3567
22,1878
23,20142
23,46668
23,27967
24,21237
25,18272
25,34620
26,27009
26,31122
26,38858
26,27186
26,7483
26,5252
26,5321
26,6851
26,10930
26,41044
26,4731
26,7866
26,44008
26,40598
27,22906
27,11639
27,31314
27,41282
27,12266
27,1259
27,37692
27,12425
28,5606
28,32609
29,1136
29,45052
29,26435
29,17086
29,37921
30,45628
30,48888
30,40788
30,10408
30,23747
30,20561
31,26667
31,21793
31,27500
31,13635
32,38016
32,7528
32,49079
32,28936
32,1561
32,16358
32,32699
32,26428
32,31495
32,47400
32,8860
32,23118
33,46929
33,11657
33,10971
33,14335
34,35155
34,37562
34,9898
34,941
34,20439
34,44835
35,27984
35,43356
35,9345
35,41096
35,21271
36,44444
36,34533
36,20559
36,13265
36,2405
36,2712
36,44939
37,43743
37,27977
37,45850
37,22115
37,16032
37,9732
37,31333
37,45314
37,28453
37,17991
37,24784
37,20595
37,24794
37,21206
37,42759
37,24713
37,12920
37,11891
38,44765
38,28942
38,20866
39,1552
39,28957
39,20162
40,45347
41,47577
41,35466
42,18803
42,42536
42,27009
43,40430
43,27821
43,14377
43,4375
43,43597
43,43472
43,1549
43,273
43,22868
44,29075
44,43842
45,13919
45,18325
45,1084
45,36746
45,30222
45,21710
45,43643
45,44576
45,14452
45,36053
45,46585
45,2630
45,40106
45,32819
45,15426
45,31089
45,29277
46,26439
46,4374
46,3107
46,9863
46,210
46,2332
46,23667
46,33063
46,22476
46,19001
47,47400
47,44474
47,22054
47,20582
47,10553
47,40181
47,15229
47,6067
47,4694
47,47359
47,17329
47,20373
47,31341
47,35398
48,14020
48,18551
49,28081
49,40582
49,43067
50,47429
50,17822
50,18737
51,34846
51,1292
51,15255
52,13072
52,35649
52,9776
52,21754
53,43300
53,10709
53,15240
53,21952
53,23787
53,27623
53,34531
53,44339
53,23000
53,18257
53,7300
53,38056
53,22864
54,20649
54,16144
54,33871
55,12382
55,12540
55,15455
56,48039
56,29930
56,18069
56,24754
56,32914
56,43614
56,38365
56,31850
56,18286
56,28355
56,5173
56,35619
56,4625
56,40616
57,30598
57,634
57,46023
57,37852
58,21818
58,23046
58,33275
58,8961
58,27618
58,27413
58,24113
58,47538
59,1264
59,5119
59,34401
59,14713
59,44385
59,25005
59,2410
60,20082
60,19675
60,9945
60,31253
60,36917
60,28320
60,15701
60,15253
60,13705
60,11882
60,16931
60,23309
60,9055
60,13617
60,15245
61,37884
61,47473
61,42241
61,3827
62,2027
62,12440
63,18237
63,39930
63,2661
63,13146
63,41315
63,22078
63,17328
63,3073
63,14004
63,25425
63,5775
63,4391
63,47907
63,45190
63,38431
63,6301
63,27973
63,16207
63,44345
64,41899
64,9693
65,173
65,22844
66,20796
66,4356
66,23516
66,8717
66,23625
66,9983
66,9461
66,46555
66,46323
67,1564
67,47685
67,48
67,31376
67,44729
67,20742
68,45582
68,21172
68,32824
68,45325
68,11551
68,45524
68,36660
68,44686
68,35624
68,32361
68,48509
68,43242
69,35192
69,3027
69,4357
69,12456
69,15975
69,28314
69,45641
69,473
69,3437
70,24586
70,4467
70,25456
70,4248
70,19379
70,15532
70,17257
70,44179
70,5867
71,40212
71,48190
71,8128
71,27798
72,7707
72,18060
72,27784
72,9582
72,30774
72,45864
72,2095
72,32968
72,4752
72,41071
73,22099
73,39309
73,14405
73,23505
73,46766
73,31737
74,11695
74,19657
74,37553
75,12383
76,44490
76,27391
77,4397
77,21617
77,32211
77,34997
77,17109
77,26937
77,35224
78,40521
78,5796
78,46901
78,35002
79,16360
79,20063
79,35835
79,45910
79,19598
79,28727
80,6919
80,44731
80,21824
80,27974
81,16210
81,16900
81,41915
82,28397
82,4824
82,42814
82,6123
83,43641
83,49373
83,33377
83,23549
83,35183
83,29204
83,45031
83,19615
83,8808
84,22273
84,46306
84,13008
85,43784
85,15389
86,33028
86,47072
87,8602
87,4283
87,39332
88,21987
88,45978
88,30940
88,8526
88,39406
88,13946
88,7553
88,1392
88,10420
88,9460
88,22102
88,29304
88,11423
88,15605
89,47452
89,31479
89,37049
89,18262
89,22674
89,45923
89,28134
89,48214
89,29404
89,10064
89,16718
89,25533
90,5501
90,39888
90,484
90,22934
90,17074
90,36964
91,36834
91,14466
91,37075
91,46276
91,10997
91,22137
91,43584
91,47222
91,26435
91,42893
91,40094
91,45919
91,8200
91,10184
92,38689
92,40895
92,34092
92,42328
92,32286
93,15113
93,31346
93,46363
93,34012
93,32603
93,12744
93,20181
93,9729
93,26605
94,35062
94,13133
94,14326
94,19982
94,3018
94,10561
95,23314
95,17189
95,40505
95,36027
96,8679
96,15791
96,19426
96,30733
96,13406
96,32810
96,45426
96,40168
96,30678
96,11274
96,35794
97,32728
97,11316
97,25126
98,5754
98,36720
98,3046
99,772
99,45089
99,12001
99,36016
99,36460
99,24608
99,6773
99,36645
99,26596
99,44025
99,17528
99,34023
100,17944
100,38009
100,8906
100,5088
100,15328
101,16916
101,11087
101,35950
101,42641
101,38540
101,47085
101,49928
102,25596
102,47889
