#delimieter: ,
#columns: house,station
#types: UINT,UINT
house,station
0,27
0,48
0,35
0,34
0,10
0,48
2,21
2,38
2,9
2,43
2,49
3,29
3,0
3,19
5,21
5,47
5,39
5,43
5,8
5,3
6,8
6,36
6,20
6,26
6,46
6,26
6,5
6,7
6,27
6,26
6,31
6,20
6,32
6,19
6,31
6,38
6,8
6,18
7,34
7,12
7,27
7,31
7,44
7,18
7,31
7,9
7,24
7,9
7,45
7,21
7,41
8,45
8,20
8,16
8,28
8,42
8,43
8,29
8,4
8,29
8,12
9,44
9,25
10,3
10,27
10,6
10,30
10,18
10,38
10,2
10,5
10,34
10,25
10,28
10,42
10,24
10,40
10,25
10,46
10,33
10,7
11,43
11,17
11,9
11,23
11,19
11,30
11,21
11,13
11,20
12,45
12,48
12,31
12,4
12,36
12,33
12,41
12,17
12,2
12,30
13,37
13,39
14,47
14,8
14,47
14,23
14,38
14,37
14,49
14,48
14,2
14,0
15,1
15,32
15,26
15,33
15,22
15,13
15,47
15,36
15,0
15,4
15,31
15,14
15,20
15,39
15,17
16,36
16,27
16,9
16,20
16,38
17,3
17,6
17,37
17,41
17,4
17,41
17,39
17,34
17,16
18,18
18,42
18,16
18,16
18,46
18,45
18,48
18,40
18,4
18,4
18,27
19,44
19,31
19,47
20,11
20,16
20,12
21,5
21,18
21,1
21,26
21,47
21,22
21,31
22,46
22,36
22,41
22,16
22,45
22,9
22,20
22,36
22,16
22,44
22,43
22,8
22,11
22,2
22,42
22,16
22,19
22,13
23,22
23,11
24,10
24,25
24,47
24,18
24,47
24,2
24,27
24,29
24,48
24,46
24,25
24,37
24,48
24,36
24,47
24,46
25,32
25,8
25,21
25,43
25,28
25,13
25,6
25,11
25,6
25,11
25,19
25,2
25,41
26,28
26,31
26,6
26,4
26,7
26,49
26,5
26,21
26,43
26,29
28,19
28,8
28,16
28,29
30,30
30,11
30,21
30,9
30,1
30,29
30,22
30,42
30,9
30,22
30,33
30,3
30,17
30,34
30,12
30,18
30,28
30,20
30,43
30,42
31,21
31,9
31,31
32,25
32,32
32,46
32,40
32,6
32,45
32,33
32,15
32,36
32,23
32,28
33,7
33,18
33,21
33,2
33,36
33,16
33,23
33,47
33,43
33,13
33,20
33,28
33,5
33,39
33,16
33,5
34,25
34,1
35,38
35,1
35,32
35,12
35,21
35,3
35,26
35,46
35,15
35,3
35,42
35,47
35,24
35,45
35,45
35,36
36,8
36,42
36,20
37,28
37,42
37,21
37,3
37,14
37,14
38,47
38,27
39,35
39,7
39,3
39,32
39,18
40,3
40,23
40,30
40,49
40,1
40,25
40,24
40,31
40,42
40,24
40,28
41,39
41,45
41,16
41,36
41,32
41,18
41,40
41,34
41,24
41,28
41,47
41,32
41,31
42,39
42,43
42,15
42,16
42,33
42,14
42,4
42,14
42,34
43,29
43,31
43,26
43,48
43,40
43,48
43,34
43,40
43,37
43,47
43,17
43,16
43,0
44,48
45,6
45,5
45,25
45,32
45,41
45,28
45,16
45,35
45,9
45,16
45,6
45,34
46,21
46,11
46,42
46,19
46,45
46,13
46,31
46,36
46,8
46,9
46,38
46,4
46,23
46,4
46,48
47,11
47,42
47,37
48,13
48,32
49,17
49,6
50,38
50,26
50,9
50,15
50,37
50,23
50,38
50,8
50,34
50,39
50,44
50,14
50,45
51,14
51,1
51,33
51,47
51,28
51,15
51,16
51,24
51,49
51,21
51,19
51,24
51,11
51,14
51,40
51,44
51,18
52,45
52,35
52,22
52,47
52,44
52,23
52,9
52,41
52,44
52,33
52,40
52,0
52,31
53,14
53,7
53,44
54,17
54,28
54,11
55,34
55,38
55,43
55,32
55,39
55,9
55,35
55,49
56,39
56,44
56,22
56,15
57,29
57,2
57,13
57,29
57,3
57,3
57,18
57,6
57,20
57,33
57,23
57,0
57,46
57,12
57,0
57,22
57,42
57,46
57,6
57,3
58,42
58,45
58,39
59,40
59,1
59,8
62,49
62,27
62,7
62,6
62,45
62,45
62,29
63,29
63,35
64,21
64,3
64,3
64,32
64,2
64,5
64,44
65,5
65,11
65,49
65,45
65,31
66,39
66,24
66,48
66,38
66,31
66,5
66,36
66,5
66,7
66,43
66,28
66,28
67,42
67,47
68,2
69,48
70,18
70,30
70,6
70,19
70,14
70,33
70,7
70,48
70,2
70,5
70,8
70,49
70,12
70,34
70,33
71,14
71,37
71,4
71,1
71,20
71,16
71,3
71,4
71,25
72,34
72,8
72,17
72,34
72,3
72,9
73,23
74,43
74,1
74,6
74,13
74,20
74,15
74,49
74,17
74,45
74,49
74,14
74,7
74,42
74,0
74,6
75,1
75,31
75,0
75,13
76,33
76,6
76,26
76,35
76,2
76,23
76,18
76,3
76,29
76,3
76,34
76,25
76,43
76,23
76,42
76,17
77,30
77,34
77,15
77,2
77,34
77,37
77,43
77,30
77,39
77,9
77,17
77,19
78,16
78,32
78,41
78,26
78,36
78,29
78,35
78,29
79,43
79,8
80,26
80,33
80,46
80,7
80,2
80,30
81,36
81,9
81,39
81,3
81,6
81,8
81,4
81,2
81,32
81,48
81,20
81,7
81,14
81,12
81,35
81,31
81,30
82,13
82,31
82,19
82,36
82,18
82,41
82,13
82,34
83,38
83,25
83,11
83,37
84,35
84,38
85,26
85,37
85,28
85,3
85,3
85,47
85,24
85,33
85,18
85,17
85,34
85,15
85,5
85,16
85,5
86,42
86,31
86,3
86,21
86,44
86,30
86,19
87,8
87,0
87,26
87,33
87,10
87,29
87,20
87,5
87,26
88,30
88,19
88,1
89,30
89,34
89,16
89,10
89,38
90,20
91,25
91,2
91,10
91,8
91,25
91,10
91,37
91,4
91,19
91,44
91,47
91,15
91,10
91,1
91,34
91,3
91,49
91,15
91,48
92,20
92,16
93,46
93,13
94,21
94,1
94,2
94,2
94,2
94,15
94,39
94,47
94,20
94,38
94,44
94,12
94,31
94,47
94,28
94,36
94,5
94,20
94,17
94,39
95,38
95,27
96,46
96,38
96,26
96,13
96,19
96,11
96,12
96,32
96,19
96,48
96,11
96,35
96,13
96,43
96,25
96,44
96,44
96,49
96,38
96,31
97,43
97,24
97,47
97,37
97,28
97,13
97,16
97,7
97,38
97,33
97,37
97,23
97,47
98,15
98,22
98,2
99,14
99,11
100,42
100,1
100,26
100,22
100,49
100,17
100,5
100,48
100,23
100,24
100,26
100,12
100,32
100,35
100,30
100,29
100,21
100,32
100,3
101,1
101,28
101,47
101,46
