vertex,cluster
812288,0
206117,0
435182,0
570710,0
476921,0
41443,0
367158,0
571327,0
610124,0
785751,0
8527,0
15368,0
31518,0
302411,0
366702,0
404551,0
540917,0
578652,0
837960,0
888146,0
4984,0
572999,0
609774,0
182247,0
238981,0
349918,0
419432,0
633290,0
803609,0
876078,0
4990,0
188354,0
252877,0
286139,0
379127,0
639372,0
735242,0
772267,0
161823,0
209672,0
229955,0
358644,0
379802,0
605991,0
5898,0
10690,0
595130,0
808208,0
832164,0
1535,0
292990,0
349526,0
378944,0
396774,0
428364,0
483563,0
610005,0
832585,0
85348,0
124818,0
194413,0
195958,0
211931,0
216694,0
351867,0
371142,0
500147,0
647988,0
690242,0
741061,0
811360,0
824564,0
848158,0
19043,0
19496,0
20528,0
52752,0
65302,0
77106,0
106847,0
111688,0
127183,0
142097,0
159502,0
183409,0
203534,0
225135,0
243324,0
417236,0
440551,0
487921,0
520511,0
532856,0
606418,0
642670,0
688331,0
714616,0
855381,0
855630,0
882909,0
2268,0
10456,0
11789,0
19765,0
139175,0
139624,0
214207,0
301347,0
332626,0
342168,0
355824,0
423625,0
494105,0
695449,0
772822,0
807027,0
831273,0
896294,0
912148,0
915730,0
3421,0
7228,0
7280,0
7773,0
22211,0
23569,0
40156,0
61529,0
75059,0
87685,0
146116,0
167943,0
170629,0
223315,0
223664,0
294506,0
303963,0
306564,0
347663,0
382573,0
387309,0
389904,0
418523,0
432523,0
463839,0
506038,0
515370,0
521943,0
527686,0
529070,0
592466,0
616110,0
627400,0
733387,0
776777,0
795770,0
813301,0
817020,0
829660,0
837783,0
849471,0
912009,0
2928,0
5487,0
6428,0
16127,0
18195,0
23167,0
74434,0
113658,0
118881,0
138080,0
145498,0
176277,0
176893,0
219341,0
220360,0
231059,0
242332,0
269182,0
270665,0
273476,0
336385,0
369307,0
426418,0
451328,0
546856,0
584574,0
622321,0
649344,0
651958,0
691403,0
704298,0
714450,0
758274,0
769729,0
786398,0
817252,0
862636,0
209,0
216,0
2511,0
3326,0
4049,0
5773,0
11289,0
11579,0
15982,0
20402,0
20464,0
21269,0
21689,0
23388,0
24471,0
25325,0
25610,0
33478,0
43460,0
44059,0
44847,0
53833,0
73087,0
83433,0
97963,0
104178,0
130417,0
